4.13. РАСПРЕДЕЛЕНИЕ ЧИСЛЕННОСТИ НАСЕЛЕНИЯ ПО ВЕЛИЧИНЕ СРЕДНЕДУШЕВЫХ ДЕНЕЖНЫХ ДОХОДОВ;;;;;;;;
в 2016 г.1);;;;;;;;
(в процентах от общей численности населения субъекта);;;;;;;;
;Величина среднедушевых денежных доходов, руб. в месяц;;;;;;;
;до 7 000,0;от 7 000,1;от 10 000,1 до 14 000,0;от 14 000,1 до 19 000,0;от 19 000,1 до 27 000,0;от 27 000,1;от 45 000,1;свыше
;;до 10 000,0;;;;до 45 000,0;до 60 000,0;60 000,00
Республика Бурятия;9,3;10,5;14,6;15,7;17,9;19,4;6,3;6,3
Республика Тыва;22,7;19,3;20,3;16;12,4;7,6;1,2;0,5
Республика Хакасия;9,1;12,1;17,3;18,1;19;17,2;4,3;2,9
Алтайский край;10,1;12,3;16,9;17,4;18,4;17,1;4,5;3,3
Забайкальский край;8,3;11,1;16,1;17,5;19,2;18,7;5,1;4
Красноярский край;6,6;8,7;13,2;15,3;18,7;21,9;7,5;8,1
Иркутская область;8,9;11,5;16,4;17,5;19;18,1;4,9;3,7
Кемеровская область;8,9;12;17,3;18,2;19,1;17,3;4,3;2,9
Новосибирская область ;6,3;9,3;14,5;16,8;19,9;21,3;6,4;5,5
Омская область;8,9;10,4;14,6;15,8;18,1;19,6;6,3;6,3
Томская область;5,5;9,2;15,1;17,9;20,9;21,3;5,8;4,3
Дальневосточный;;;;;;;;
федеральный округ;;;;;;;;
Республика Саха (Якутия);2,3;4,3;8,3;11,8;17,8;26,8;11,8;16,9
Камчатский край;0,7;2,1;5,6;10,1;18,1;31,2;14,2;18
Приморский край;3,2;5,8;10,6;14,2;19,6;25,9;9,8;10,9
Хабаровский край ;2,2;4,3;8,5;12,3;18,4;27,3;11,6;15,4
Амурская область;4,4;7,2;12,1;15,2;19,7;24,1;8,5;8,8
Магаданская область;0,7;1,9;4,5;7,9;14,5;27,8;15;27,7
Сахалинская область;1,4;2,8;5,8;9;14,8;26,2;13,6;26,4
Еврейская автономная область;5,5;9,5;15,5;18,3;21,1;20,8;5,5;3,8
Чукотский автономный округ;0,5;1,2;3;5,6;11,1;24,5;15,3;38,8
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
